Name,Types,Stats
Bulbasaur,Grass|Poison,hp:45|atk:49|def:49|spa:65|spd:65|spe:45
Ivysaur,Grass|Poison,hp:60|atk:62|def:63|spa:80|spd:80|spe:60
Venusaur,Grass|Poison,hp:80|atk:82|def:83|spa:100|spd:100|spe:80
Charmander,Fire,hp:39|atk:52|def:43|spa:60|spd:50|spe:65
Charmeleon,Fire,hp:58|atk:64|def:58|spa:80|spd:65|spe:80
Charizard,Fire|Flying,hp:78|atk:84|def:78|spa:109|spd:85|spe:100
Squirtle,Water,hp:44|atk:48|def:65|spa:50|spd:64|spe:43
Wartortle,Water,hp:59|atk:63|def:80|spa:65|spd:80|spe:58
Blastoise,Water,hp:79|atk:83|def:100|spa:85|spd:105|spe:78
Caterpie,Bug,hp:45|atk:30|def:35|spa:20|spd:20|spe:45
Metapod,Bug,hp:50|atk:20|def:55|spa:25|spd:25|spe:30
Butterfree,Bug|Flying,hp:60|atk:45|def:50|spa:90|spd:80|spe:70
Weedle,Bug|Poison,hp:40|atk:35|def:30|spa:20|spd:20|spe:50
Kakuna,Bug|Poison,hp:45|atk:25|def:50|spa:25|spd:25|spe:35
Beedrill,Bug|Poison,hp:65|atk:90|def:40|spa:45|spd:80|spe:75
Pidgey,Normal|Flying,hp:40|atk:45|def:40|spa:35|spd:35|spe:56
Pidgeotto,Normal|Flying,hp:63|atk:60|def:55|spa:50|spd:50|spe:71
Pidgeot,Normal|Flying,hp:83|atk:80|def:75|spa:70|spd:70|spe:101
Rattata,Normal,hp:30|atk:56|def:35|spa:25|spd:35|spe:72
Raticate,Normal,hp:55|atk:81|def:60|spa:50|spd:70|spe:97
Spearow,Normal|Flying,hp:40|atk:60|def:30|spa:31|spd:31|spe:70
Fearow,Normal|Flying,hp:65|atk:90|def:65|spa:61|spd:61|spe:100
Ekans,Poison,hp:35|atk:60|def:44|spa:40|spd:54|spe:55
Arbok,Poison,hp:60|atk:95|def:69|spa:65|spd:79|spe:80
Pikachu,Electric,hp:35|atk:55|def:40|spa:50|spd:50|spe:90
